basin_id,Catchment Area (km2),Reservoir area (km2),lat,lon,Soil Carbon Content (kgC m-2),Mean_annual_runoff (2011-2018) (mm yr-1),Effective Temperature CO2 (°C),Effective Temperature CH4 (°C),Discharge (m3 yr-1),Age,YEAR,q-bathymetric Shape,% Littoral Area,Cumulative radiance (kWh m-2 period),GRAND_ID,Maximum Depth (m),P Input from catchment (kgP yr-1),CH4 Diffusive Emissions(g CO2e/m2/yr),CH4 Bubbling Emissions (g CO2e/m2/yr,Storage Capacity (millions of m3),MAIN_USE,Installed Capacity(MW),CRD_ID,Name,Province,Prefecture,County,ZN_name,River Area Before impoundment (%),R_WRT,CO2 diffusion part 1,CO2 diffusion part 2,CH4 Bubbling Emissions (g CO2e/m2/yr),number of month over 0°,Average GHI (kWh m-2 period),Mean Depth(m),P Human Input (kgP yr-1),CH4 Degassing Emissions (gCO2e/m2/yr),FID_1query_shape,Main Basin,FID_2query_shape,Sub Basin,FID_3query_shape,Third Level Basin,"Water Residence Time (WRT, yrs)",Total Phosphorus (µg L-1),CO2 Diffusive Emissions (g CO2e/m2/yr),Length(m)
5225,1.268263671,0.080136963,29.55042369,115.7921366,7.142066852,4.259375,14.93373327,15.03002612,5402.010574,,,,,41.88,,,0.174539817,,,1.046458544,,,86304.0,Rainwater Reservoir,Jiangxi,Jiujiang,Jiujiang County,,,0.9514300557902544,,,,12,3.49,25.86670287318243,103.35885510720654,,4.0,长江流域,16.0,长江干流水系,192.0,城陵矶至湖口右岸,383.7236123130405,930.8777068147738,,
5226,1237.860412,25.25339099,19.008174,110.196321,15.77431203,82.5771125,24.85391272,24.87663961,102218938.5,44.0,1976.0,1.954545527449825,6.342120959088737,51.23,5789.0,91.0,13.9379219,137.84505417955845,35.5916902,780.0,Hydroelectricity,80.0,26779.0,Niululing Reservoir,Hainan,Provincial and county-level administrative units,Wanning,牛路岭水库,0.012461953,0.7339348517678004,1095.6942345403472,986.0686262181122,35.59169020138786,12,4.269166667,30.79999924,16236.941864240242,140.8567080541245,6.0,珠江流域,43.0,粤桂琼沿海诸河系,210.0,海南岛,7.609200747977428,42.29933124577556,109.62560832223504,54.62593301
5227,19.09347286,0.243021776,26.55935899,117.8360935,8.653961969,82.5771125,22.13254161,22.2123768,1576683.856,,,,,41.98,,,0.3751898,,,3.596906587,,,77204.0,Caodi Reservoir,Fujian,Sanming,Shaxian,,,0.6662893866095282,,,,12,3.498333333,25.863374169138176,274.5171695504126,,5.0,东南沿海诸河流域,35.0,闽江水系,32.0,闽江上游,3.986444776813845,58.18192246092242,,
5228,89.33854282,0.114534482,23.57987192,102.9743481,9.621032217,17.533225,19.70045086,19.72952704,1566392.772,,,,,55.27,,,8.8052302,,,1.545001368,,,90483.0,A Bowl Of Water Reservoir,Yunnan,Honghe Hani and Yi Autonomous Prefecture,Jianshui County,,0.271079424,0.5789913189046593,856.3090391717002,,,12,4.605833333,25.86582988670388,5407.732937201367,,6.0,珠江流域,38.0,西江水系,177.0,南盘江,1.8913068801818125,1455.8351077224092,,12.49822565
5230,25.58345641,0.057568613,41.30012894,120.2069011,6.351421999,218.2612,16.0178122,16.18662367,5583875.896,,,,,49.338,,,3.87395366,,,0.698220517,,,65721.0,Stone Cover Reservoir,Liaoning,Chaoyang,Chaoyang County,石盖子水库,0.218318925,0.3405503021792778,264.2121831352682,,,9,5.482,25.867185886636808,500.6819690177915,,0.0,东北诸河流域,45.0,大凌河水系及辽东沿海诸河系,8.0,沿渤海西部诸河,0.2666853707693938,59.587508200509134,,7.548804671
5232,8.175454124,0.025202523,33.93150021,112.8239495,5.526718439,529.730825,16.93816922,17.05954015,4330790.058,,,,,41.81833333,,,1.995666237,,,,,,,,,,,,,,,,,11,3.801666667,,808.9275130116181,,3.0,淮河流域,15.0,淮河干流水系,137.0,王蚌区间北岸,,,,
5233,13.04515159,0.511522445,26.7768204,113.752755,9.737008018,529.730825,20.8279796,20.92682664,6910418.914,,,,,40.21,,,0.218045521,,,16.25,,,78803.0,Iwaguchi Reservoir,Hunan,Zhuzhou,Chaling County,,,0.5806163050463313,,,,12,3.350833333,25.89375607318301,478.6130424258068,,4.0,长江流域,19.0,洞庭湖水系,57.0,湘江衡阳以下,1.9167054243143644,29.059591527075536,,
5236,203.1001177,1.389214467,41.808147,120.44237,5.006902353,670.6737125,14.31204124,14.48733314,136213909.9,47.0,1976.0,0.8659152618684225,8.436291515389428,43.856,5875.0,31.0,40.88840959,49.6201423542301,,44.0, ,,67731.0,Longtan Reservoir,Liaoning,Chaoyang,beipiao city,龙潭水库,0.053382788,0.2915999240540126,210.87876692696057,189.78007681994455,18.774287625972622,8,5.482,16.61383056,2961.1670276157456,,0.0,东北诸河流域,45.0,大凌河水系及辽东沿海诸河系,8.0,沿渤海西部诸河,0.1694406523916043,15.612622097639488,21.098690107015983,22.95362488
5239,792.7517175,24.49188497,28.674241,102.206559,15.93514013,847.9243125,15.06706412,15.12950447,672193455.0,23.0,1999.0,2.192982456140351,7.087748966762142,50.63,5089.0,91.0,67.21837638,49.18738482335881,36.41377957,700.0,Irrigation,90.0,27009.0,Daqiao Reservoir,Sichuan,Liangshan Yi Autonomous Prefecture,Mianning County,大桥水库,0.006141573,0.5047123286721168,303.1341701084424,348.22478152882445,36.413779566230566,12,4.219166667,28.5,5209.236378172976,,4.0,长江流域,21.0,雅砻江水系,175.0,雅砻江,1.038419396093217,3.887813796475424,-45.09061142038206,30.11105258
5240,609.8989251,7.241697092,28.6508,114.550306,8.548136836,847.9243125,20.66927826,20.77604574,517148126.8,25.0,,1.7044025803567917,11.596932985256537,40.07,5535.0,43.0,37.98204842,115.39746617434928,15.6472243,115.0,Hydroelectricity,,67902.0,Dashan Reservoir,Jiangxi,Yichun,Tonggu County,,0.027186665,0.3205865995580241,503.4277864584502,,15.647224303253688,12,3.339166667,15.89999962,20663.22796485339,175.70261886923157,4.0,长江流域,20.0,鄱阳湖水系,155.0,修水,0.2226499044526402,27.19661690628317,,42.86094615
5241,199.9329925,2.190018826,24.715057,113.091948,9.977421705,213.4541125,22.63313867,22.71054764,42676519.47,49.0,,1.1719859890440056,4.380625651030822,41.22,5699.0,80.0,2.022079144,91.44972021546567,,222.0,Hydroelectricity,24.0,5355.0, ,Guangdong,Shaoguan City,Ruyuan Yao Autonomous County,,0.027720984,0.5789154939907466,355.4636681958302,,7.837799380567531,12,3.435,36.83265012,369.3712647193433,87.4287887890083,6.0,珠江流域,39.0,北江水系,85.0,北江大坑口以上,1.890130642548124,3.664497121086821,,18.88519424
5242,17.09683007,0.373845683,30.64233351,116.8114532,6.046703669,587.1975375,20.78820785,20.90538024,10039216.52,,,,,43.61,,,3.045455362,,,14.76299815,,,92559.0,Guanyindong Reservoir,Anhui,Anqing,Huaining County,,,0.4954762339207297,,,,12,3.634166667,25.899408687073183,1084.7570249373498,,4.0,长江流域,16.0,长江干流水系,28.0,巢滁皖及沿江诸河,0.9644559527458588,54.66783219762643,,
5243,49.02562838,0.393734716,34.52423985,113.1040576,6.376074135,587.1975375,16.24076681,16.36074496,28787728.26,,1969.0,,,44.20166667,,,8.490276042,,,9.000632032,,,67558.0,Zhifang Reservoir,Henan,Zhengzhou City,Dengfeng,纸坊水库,0.059826911,0.3729903490904276,391.52966573143607,335.60132233532534,,11,4.018333333,25.87321661216372,7229.6450553316035,,3.0,淮河流域,15.0,淮河干流水系,137.0,王蚌区间北岸,0.3538724383910802,157.64983837459653,55.92834339611073,11.48981041
5244,294.905441,2.083058635,35.761654,109.628554,5.814733919,1008.5474,14.5028146,14.63155262,297426115.8,,1972.0,1.986111189911268,13.37977695524586,37.17,5250.0,43.0,9.035968584,62.31958033439949,12.49045716,30.0, ,,79207.0,Tuojiahe Reservoir,Shaanxi,Yan'an City,Luochuan County,拓家河水库,0.032668138,0.2410282927955245,160.08030281141305,139.98626837999635,12.490457156492738,9,4.13,14.39999962,1284.7861997719167,,2.0,黄河流域,54.0,渭河水系,131.0,北洛河状头以上,0.1008520838028776,3.30157429953596,20.094034431416706,18.69284388
5246,6.076511022,0.257831369,36.04454156,117.9493773,5.043107473,1726.864575,17.36378349,17.50000064,10493311.62,,,,,42.875,,,0.588899822,,,2.68887321,,,67271.0,Zhangjiapanyu Reservoir,Shandong,Zibo City,Yiyuan County,,,0.4435469140405422,,,,10,4.2875,25.858232104273693,280.88753697042955,,3.0,淮河流域,27.0,沂沭泗水系,197.0,沂沭河区,0.6353631363087215,14.92650152307396,,
5249,45.57396101,0.465015157,23.949181,116.692331,9.286495328,1302.17005,22.84626843,22.90184478,59345047.09,,,1.1193660743868463,5.232142603133583,46.56,5721.0,64.0,3.420781375,101.35395079095046,,31.0, ,,79113.0,Fengxi Reservoir,Guangdong,Chaozhou,Chao'an District,凤溪水库,0.032762168,0.3272511984676992,479.3657710605303,,17.276468549290342,12,3.88,30.19770901,2170.285576326932,,6.0,珠江流域,37.0,韩江水系,89.0,韩江白莲以下及粤东诸河,0.2366228200260426,24.641624174792067,,7.606736197
5252,20.64937457,0.381837116,30.760417,119.91156,6.845338752,,20.22619623,20.34560844,,,,0.6787577300238319,9.934316530923237,43.57,5416.0,21.0,1.230195633,102.46592187854186,,11.5,Irrigation,,78620.0,Peace Reservoir,Zhejiang,Huzhou,Changxing County,,,,,,20.85173128675179,12,3.630833333,12.50924992,1068.2029007489366,,4.0,长江流域,18.0,太湖流域,115.0,湖西及湖区,,,,
5253,9.417265252,0.205118319,23.16885473,116.1888451,8.891639923,1454.112113,23.68513723,23.73200847,13693759.47,,,,,46.56,,,0.680486429,,,6.558129117,,,78558.0,Funabashi Reservoir,Guangdong,Jieyang,Huilai County,,,0.3837092585654656,,,,12,3.88,25.879239924320267,182.72913080480248,,6.0,珠江流域,37.0,韩江水系,89.0,韩江白莲以下及粤东诸河,0.3876441820268153,8.254391296917111,,
5255,28.87099038,1.297541345,28.51852208,115.348396,5.791199524,1454.112113,20.76755927,20.87240726,41981656.83,,1958.0,0.643439970198507,10.164515642170546,41.25,,19.55,2.107764484,109.78330913854268,,19.79,,,80029.0,Bishan Reservoir,Jiangxi,Yichun,Gao'an,碧山水库,0.010415028,0.3774727690635652,338.9311974241762,272.3826471718111,16.107191919583858,12,3.4375,11.8957798,872.6128344814969,,4.0,长江流域,20.0,鄱阳湖水系,155.0,修水,0.3676669118977296,12.970840920407054,66.54855025236515,7.808756545
5256,462.8361983,1.281853958,26.80539,115.321877,8.310265335,1454.112113,21.50339124,21.60698165,673015722.3,44.0,2015.0,1.037177072173228,6.342690436104892,41.73,5626.0,49.0,15.19161532,95.9056704103914,,114.0,Hydroelectricity,20.66,26630.0,Baiyunshan Reservoir,Jiangxi,Ji'an,Qingyuan District,,0.109092561,0.1763023651570396,373.2368309797636,688.4644818809581,11.417520935365475,12,3.4775,24.05289195,8565.599394819958,289.06766564340865,4.0,长江流域,20.0,鄱阳湖水系,191.0,赣江栋背至峡江,0.0458121463238173,10.501949695884573,-315.2276509011946,33.2540795
5258,6.723765689,0.539294905,19.238072,109.969783,15.1171301,1658.9943,25.38084501,25.40468229,11154688.95,,,,,54.29,,,0.363945707,,,11.62433878,,,78531.0,Leigongtan Reservoir,Hainan,Provincial and county-level administrative units,Tunchang County,,,0.5279454988174923,,,,12,4.524166667,25.87170460766663,403.1535266357424,,6.0,珠江流域,43.0,粤桂琼沿海诸河系,210.0,海南岛,1.2508173502537967,17.07642767799273,,
5262,482.9158374,0.031409247,24.93457924,114.8243073,7.846395607,1337.298562,21.65187939,21.72709359,645802654.9,,2002.0,0.9772874164357224,7.1569795067581214,42.62,,41.0,46.92050154,102.73794744289712,,0.630070016,,,71841.0,Shiren Reservoir,Jiangxi,Ganzhou City,Longnan County,石人水库,4.33000849,0.0307792875524704,314.0142078808471,379.54783613221065,14.07668915052788,12,3.551666667,20.73547814,14913.248356871794,,4.0,长江流域,20.0,鄱阳湖水系,31.0,赣江栋背以上,0.0010084903640431,22.45222346063357,-65.53362825136355,31.90475379
5263,16.32378484,0.087368835,27.13182225,117.2218347,10.47741043,1355.8525,20.92268704,21.01116566,22132644.48,,,,,41.38,,,0.678375824,,,1.242823326,,,75538.0,Layer Creek Reservoir,Fujian,Nanping,Shaowu,,,0.242163800540914,,,,12,3.448333333,25.866907995191795,116.44112231025704,,5.0,东南沿海诸河流域,35.0,闽江水系,32.0,闽江上游,0.102109877477434,4.010248094339825,,
5269,76.39139335,0.041411741,29.33054682,115.5088309,6.191242979,1355.8525,14.94532265,15.04164718,103575461.7,,,,,41.88,,,3.029906868,,,0.731735041,,,72204.0,chengmen Reservoir,Jiangxi,Jiujiang,De'an County,城门水库,0.823984523,0.092311867488506,173.2899051448126,,,12,3.49,25.86873236685633,1789.7632668274366,,4.0,长江流域,20.0,鄱阳湖水系,155.0,修水,0.0103428865069707,15.711222147619594,,14.44163332
5270,2.200680371,0.584669155,35.80276604,117.4305743,3.60764049,1286.694,12.11020745,12.23721027,2831602.229,,,,,38.37,,,0.804390498,,,7.784727075,,,67515.0,Tamura Reservoir,Shandong,Tai'an,Xintai City,,,0.6979189508812116,,,,9,4.263333333,25.85146045591303,253.509613280173,,2.0,黄河流域,55.0,黄河下游水系,92.0,黄汶区,5.3378088857131845,27.130731951020092,,
5272,13.67931883,0.428094003,28.0805576,116.0321213,6.163340129,1286.694,21.63730348,21.74799587,17601097.46,,,,,43.35,,,0.588332616,,,13.4,,,16896.0,Merlin Reservoir,Jiangxi,Yichun,Fengcheng,,,0.4424364701636978,,,,12,3.6125,25.888907487719543,991.4310391730814,,4.0,长江流域,20.0,鄱阳湖水系,113.0,鄱阳湖环湖区,0.6296701704671518,31.424962213731824,,
5277,53.48042496,0.067499805,29.75113594,121.1388438,9.871679474,,20.65996619,20.77353633,,,,,,43.07,,,2.483322194,,,1.105231049,,,72508.0,Dahengshan Reservoir,Zhejiang,Ningbo,Yuyao,大横山水库,0.247171191,,,,,12,3.589166667,25.868050684239616,952.1856559459908,,5.0,东南沿海诸河流域,0.0,钱塘江水系,143.0,浙东沿海诸河,,,,7.914545951
5280,69.40445076,0.22746203,25.1544394,107.447778,8.454740724,762.55445,20.71975473,20.78880603,52924672.78,,1974.0,1.076862941148235,5.84008208331298,40.14,,55.2,7.56105102,84.32276046549535,,18.37378398,,1.0,92547.0,Laxi Reservoir,Guangxi,Hechi,Nandan County,拉希水库,0.101440023,0.2526046654720627,319.3676030607905,283.2291325427041,8.798192402674038,12,3.345,26.57854734,868.0276043210204,,6.0,珠江流域,38.0,西江水系,129.0,红水河,0.114230471634633,12.364948928220256,36.138470518086365,10.06983367
